"x"
1281
1269
1959
1202
2130
463
199
1260
1427
1679
872
2460
560
194
1308
1331
1645
1351
1790
451
216
1261
1374
1710
471
372
312
245
1936
1636
2054
3904
1578
670
387
1417
1564
1813
1572
1799
600
351
1407
1549
2253
1293
1850
644
297
1579
1950
4192
1384
694
229
349
1793
2315
2355
1495
711
389
378
1840
2309
2182
2057
2399
813
588
2011
2469
2806
2518
2738
971
739
1019
2681
3434
2895
3356
965
704
2164
3170
3830
2578
4098
1161
465
2619
3332
3572
2454
4107
874
453
3062
2976
3427
3266
2690
809
561
3198
2562
3186
2918
2484
653
433
910
2169
3092
2960
2071
729
220
2152
1772
2088
1704
1730
289
203
1713
1399
2016
1766
1634
252
186
1316
1077
1821
1500
796
268
82
1528
554
1625
853
611
141
53
985
961
1221
508
