"x"
632
562
635
522
584
163
316
320
485
413
533
276
108
184
330
386
324
606
182
75
258
345
398
342
522
154
76
146
329
303
283
433
93
41
125
301
322
244
464
86
122
229
359
328
350
453
77
87
191
289
361
289
556
126
98
258
444
375
318
881
168
225
344
577
540
513
1133
255
124
521
833
790
1023
1048
266
204
1025
1023
1201
1777
1460
564
205
1331
1411
1540
2197
1733
649
310
1708
1420
2034
2993
1930
649
406
624
2071
2292
3215
2472
822
370
2160
1889
2739
3461
2444
980
389
2304
2440
2685
3290
2473
837
568
2265
2502
2615
2803
2147
823
536
1922
1872
2649
2463
1800
427
477
1181
2296
3208
2165
1799
546
462
1774
2129
3171
1987
1861
541
254
1474
1578
2055
1843
1723
372
233
