"x"
91
98
89
113
108
100
97
77
133
126
117
140
161
118
131
188
172
154
188
197
212
199
275
251
257
291
312
291
271
354
459
469
714
513
478
446
630
685
780
794
839
904
879
1027
1038
1185
1341
1501
1619
1761
2023
2104
2263
2624
2767
2812
2771
3293
3645
3498
3523
3689
3417
3449
3780
3980
3915
4187
4077
3769
3876
4205
4120
4000
3890
4077
4106
4329
4529
3874
4209
4194
3741
4454
3511
4157
3847
3660
3617
3460
3128
2795
3207
2887
2713
3380
2677
2427
2123
2219
2177
NA
4002
3303
3921
2726
2542
2330
1587
1647
1571
1427
1167
1358
1321
1329
1183
1258
979
907
817
1005
853
738
955
723
553
930
817
911
1206
895
724
2020
622
583
542
560
518
499
374
3998
507
483
546
535
416
415
640
640
555
593
541
422
422
562
533
464
617
491
447
373
497
490
585
478
493
417
437
440
530
540
375
403
389
354
648
607
496
509
460
380
350
460
509
366
330
308
219
290
369
338
260
308
338
219
339
284
431
320
281
309
295
252
383
282
318
290
260
276
179
378
311
277
234
244
180
263
278
318
271
248
214
193
181
226
246
379
166
144
166
164
197
160
231
666
561
443
356
585
733
805
549
446
251
